INDEX,Unnamed: 1,Unnamed: 2,1. INBOUND TOURISM: Arrivals by mode of transport,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
50,1.22,50-1.22,,,,Land,,Thousands,,,25,30,34,33,39,48,49,56,58,53,68,49,62,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
52,0,52-0,BARBADOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ The information for 2019 only includes data relating to the January-September period due to a data gap in the fourth quarter and is therefore not comparable to the series for previous years.
2/ Cruise passengers only."
52,1.19,52-1.19,,,Total,,,Thousands,,VF,927,957,990,1019,947,1078,1035,1021,1090,1273,1111,1101,1191,1165,1154,1197,1187,1053,1079,1079,1179,1227,1345,1356.1,965.7,545.8,242.20000000000002,897.6,
52,1.20,52-1.20,,,,Air,,Thousands,,,434,438,461,499,507,538,498,492,526,546,544,557,575,568,519,532,568,536,509,521,592,632,664,680.3,522.6,207.4,144.8,539.7,
52,1.21,52-1.21,,,,Water,,Thousands,2/,,493,519,529,520,440,540,537,529,564,727,567,544,616,597,635,665,619,517,570,558,587,595,681,675.8,443.1,338.4,97.4,357.9,
52,1.22,52-1.22,,,,Land,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
112,0,112-0,BELARUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Data until 2015 without taking into account the Belarusian-Russian border segment. Data from 2016 including estimation of the Belarusian-Russian border segment. Major groupings only.
112,1.19,112-1.19,,,Total,,,Thousands,1/,VF,..,..,..,..,..,..,..,..,..,..,..,5168,5177,5181,4725,5533,5682,5910,5953,5092,4179,10278.4,10444.3,11100.5,11427.2,3463.1000000000004,3241.7,4714.599999999999,
112,1.20,112-1.20,,,,Air,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,122,162,194,200,231,256,253,268,294,324,818.1,992.1,1084.9,1198.9,438.4,414.2,416.4,
112,1.21,112-1.21,,,,Water,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
112,1.22,112-1.22,,,,Land,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,5046,5015,4987,4525,5302,5426,5657,5685,4798,3855,9460.3,9452.199999999999,10015.6,10228.300000000001,3024.7000000000003,2827.5,4298.2,
56,0,56-0,BELGIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1.19,56-1.19,,,Total,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
56,1.20,56-1.20,,,,Air,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
56,1.21,56-1.21,,,,Water,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
56,1.22,56-1.22,,,,Land,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
84,0,84-0,BELIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1.19,84-1.19,,,Total,,,Thousands,,VF,329,350,304,176,181,196,196,200,220,231,237,247,252,245,940,1053,1106,1028,1022.5,1289,1299.1,1390.6000000000001,1441.4,1697.4,1674.1000000000001,487.19999999999993,437.2,..,
84,1.20,84-1.20,,,,Air,,Thousands,,,94,94,98,109,115,132,134,130,152,163,175,179,183,178,168,172,182,212,223.5,239,255.9,298.2,322.2,369.5,384.4,110.4,201.6,..,
84,1.21,84-1.21,,,,Water,,Thousands,,,10,12,14,11,10,9,9,8,8,8,8,8,10,10,715,789,747,651,688,979,967.6,1014,1024,1217.5,1182,349.4,212.9,..,
84,1.22,84-1.22,,,,Land,,Thousands,,,225,244,192,56,56,55,53,62,60,60,54,60,59,57,57,92,177,165,111,71,75.6,78.4,95.2,110.4,107.7,27.4,22.7,..,
204,0,204-0,BENIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,1.19,204-1.19,,,Total,,,Thousands,,TF,..,..,..,..,80.1,96.3,..,..,..,..,..,..,185,188,190,199,209,220,230.9,242.39999999999998,254.6,267.3,280.79999999999995,294.8,309.4,324.9,..,..,
204,1.20,204-1.20,,,,Air,,Thousands,,,..,..,..,..,36,62,..,..,..,..,..,..,81,71,81,88,73,95,107.4,97.5,99.7,105.6,112.4,114.7,115,121.1,..,..,
