INDEX,Unnamed: 1,Unnamed: 2,1. INBOUND TOURISM: Tourism expenditure in the country,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
52,1.33,52-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,628,665,670,718,734,795,728,695,840,843,905,1068,1198,1203,1076,1041,984,947,988,910,974,1071,1081,1118,1250,578,627,928.6,"1/ From 2017: the expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data used in the preparation of this edition of the Compendium."
52,1.34,52-1.34,,,Travel,,,US$ Millions,1/,IMF,620,657,661,709,724,785,719,687,831,834,897,1061,1191,1196,1073,1038,971,929,969,887,947,1038,1081,1118,1250,578,627,928.6,
52,1.35,52-1.35,,,Passenger transport,,,US$ Millions,,IMF,8,8,9,9,10,10,9,8,9,9,8,7,7,7,3,3,13,18,19,23,27,33,..,..,..,..,..,..,
112,0,112-0,BELARUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,1.33,112-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,28,61,40,54,92,188,272,295,339,362,346,401,479,585,563,665,747,986,1156,1230,1013,1019,1124.5,1221,1290,546,662,..,
112,1.34,112-1.34,,,Travel,,,US$ Millions,,IMF,23,55,25,22,12,93,211,234,267,270,253,286,324,363,370,440,487,685,791,868,729,711,801,883,901,359,427,..,
112,1.35,112-1.35,,,Passenger transport,,,US$ Millions,,IMF,5,6,15,32,80,95,61,61,72,92,93,115,155,222,193,225,260,301,365,362,284,308,323.5,338,389,187,235,..,
56,0,56-0,BELGIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1.33,56-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,..,..,..,..,..,..,8304,7598,8848,10089,10881,11625,12369,..,12718,12680,14114,13704,14534,15249,8975,8784,9636,10319,10516,7227,7336,8737.38,1/ 1995-2000: country data.
56,1.34,56-1.34,,,Travel,,,US$ Millions,1/,IMF,4548,4844,4529,4623,6472,6592,6887,6935,8193,9208,9845,10311,11015,12020,11461,11393,12750,12498,13384,13918,7865,7648,8396,8880,8829,6402,6289,6939.48,
56,1.35,56-1.35,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,1417,663,655,881,1036,1314,1354,..,1257,1287,1364,1206,1150,1331,1110,1136,1240,1439,1687,825,1047,1797.9,
84,0,84-0,BELIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1.33,84-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,..,95,97,101,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,599.1,
84,1.34,84-1.34,,,Travel,,,US$ Millions,,IMF,78,93,95,99,101,111,111,121,150,168,214,260,289,278,256,264,248,298,351,380,372,391,427,479,527,247,374,598.9,
84,1.35,84-1.35,,,Passenger transport,,,US$ Millions,,IMF,..,2,2,2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,
204,0,204-0,BENIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,1.33,204-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,..,79.1,56.2,64.2,94.4,77.4,85.5,94.5,107.9,120.9,107.7,121.6,206.3,236.4,131.4,149.4,201,174,193,153,148,129,160,175,240.86,202.6,246.60000000000002,..,
204,1.34,204-1.34,,,Travel,,,US$ Millions,,IMF,85,79,56,64,94,77,85,93,106,118,103,116,206,236,131,149,180,170,189,151,141,123,150,162,240,200,243.8,..,
