INDEX,Unnamed: 1,Unnamed: 2,3. OUTBOUND TOURISM: Departures,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
48,0,48-0,BAHRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Departures,,,,,1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Source: Outbound tourism survey.
48,3.1,48-3.1,,,Total departures,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4741,3293,3136,2868,2950,752,..,..,
48,3.2,48-3.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3676,1842,1744,1520,1550,464,..,..,
48,3.3,48-3.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1064,1451,1392,1348,1400,288,..,..,
50,0,50-0,BANGLADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,3.1,50-3.1,,,Total departures,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
50,3.2,50-3.2,,,,Overnights visitors (tourists),,Thousands,,830,911,866,992,1103,1128,1075,1158,1414,1565,1767,1819,2327,875,2254,1913,2127,2273,1460,..,..,..,..,..,1564,..,..,..,
50,3.3,50-3.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
52,0,52-0,BARBADOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,3.1,52-3.1,,,Total departures,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
52,3.2,52-3.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
52,3.3,52-3.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
112,0,112-0,BELARUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Package tour.
112,3.1,112-3.1,,,Total departures,,,Thousands,,..,..,..,..,..,4747,4008,6160,6518,6924,6596,6811,7512,6323,6440,7464,7542,8427,8841,7246,6972,8340,9209,9326,9221,2810,2616,3869,
112,3.2,112-3.2,,,,Overnights visitors (tourists),,Thousands,1/,..,..,969,901,934,1289,1387,1436,1108,515,572,525,517,380,316,415,320,493,708,741,671,468,706,836,963,254,477,344,
112,3.3,112-3.3,,,,Same-day visitors (excursionists),,Thousands,1/,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,68,28,21,15,20,5,2,5,
56,0,56-0,BELGIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,3.1,56-3.1,,,Total departures,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19328,21127,23721,10208,10890,20428,
56,3.2,56-3.2,,,,Overnights visitors (tourists),,Thousands,,..,5645,7548,7776,6410,7932,6570,6773,7268,8783,9327,7852,8371,8887,8775,8801,9727,9576,10803,10991,10835,13372,14628,15627,17321,7108,8593,16005,
56,3.3,56-3.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4700,5500,6400,3100,2297,4423,
84,0,84-0,BELIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,3.1,84-3.1,,,Total departures,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
84,3.2,84-3.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
84,3.3,84-3.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
204,0,204-0,BENIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,3.1,204-3.1,,,Total departures,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
204,3.2,204-3.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
204,3.3,204-3.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
60,0,60-0,BERMUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,3.1,60-3.1,,,Total departures,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
60,3.2,60-3.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,140,145,141,156,161,170,181,192,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
60,3.3,60-3.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
64,0,64-0,BHUTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.1,64-3.1,,,Total departures,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72,..,..,..,
64,3.2,64-3.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41,..,..,..,
64,3.3,64-3.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31,..,..,..,
68,0,68-0,"BOLIVIA, PLURINATIONAL STATE OF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.1,68-3.1,,,Total departures,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
68,3.2,68-3.2,,,,Overnights visitors (tourists),,Thousands,,249,269,285,299,253,201,222,217,304,346,386,472,526,544,518,604,775,788,837,932,965,940,997,1060,1160,432,376,821,
